route,total_price,total_flight_time,total_flight_minutes,leg1_flight,leg1_airline,leg1_departure,leg1_arrival,leg1_price,leg1_duration,leg2_flight,leg2_airline,leg2_departure,leg2_arrival,leg2_price,leg2_duration,leg3_flight,leg3_airline,leg3_departure,leg3_arrival,leg3_price,leg3_duration
CHS → NYC → ORD → BNA,817,6h 26m,386,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,EWR→ORD,United,2:36 PM,4:17 PM,$159,2 hr 41 min,ORD→BNA,United,6:10 PM,7:56 PM,$179,1 hr 46 min
CHS → NYC → ORD → BNA,817,6h 27m,387,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,EWR→ORD,United,2:36 PM,4:17 PM,$159,2 hr 41 min,ORD→BNA,United,8:10 PM,9:57 PM,$179,1 hr 47 min
CHS → NYC → ORD → BNA,817,6h 23m,383,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,EWR→ORD,United,2:36 PM,4:17 PM,$159,2 hr 41 min,ORD→BNA,United,10:00 PM,11:43 PM,$179,1 hr 43 min
CHS → NYC → ORD → BNA,817,6h 38m,398,CHS→LGA,Delta,7:00 AM,8:59 AM,$479,1 hr 59 min,LGA→ORD,Delta,6:50 PM,8:46 PM,$159,2 hr 56 min,ORD→BNA,United,10:00 PM,11:43 PM,$179,1 hr 43 min
CHS → NYC → ORD → BNA,817,6h 41m,401,CHS→JFK,JetBlue,11:00 AM,12:59 PM,$484,1 hr 59 min,LGA→ORD,American,5:55 PM,7:57 PM,$164,3 hr 2 min,ORD→BNA,American,10:19 PM,11:59 PM,$169,1 hr 40 min
CHS → NYC → ORD → BNA,817,6h 33m,393,CHS→EWR,United,11:09 AM,1:08 PM,$509,1 hr 59 min,LGA→ORD,American,7:10 PM,9:04 PM,$139,2 hr 54 min,ORD→BNA,American,10:19 PM,11:59 PM,$169,1 hr 40 min
CHS → NYC → ORD → BNA,817,6h 27m,387,CHS→EWR,United,11:09 AM,1:08 PM,$509,1 hr 59 min,LGA→ORD,American,8:29 PM,10:17 PM,$139,2 hr 48 min,ORD→BNA,American,10:19 PM,11:59 PM,$169,1 hr 40 min
CHS → NYC → ORD → BNA,817,6h 42m,402,CHS→LGA,Delta,3:45 PM,5:48 PM,$479,2 hr 3 min,LGA→ORD,Delta,6:50 PM,8:46 PM,$159,2 hr 56 min,ORD→BNA,United,10:00 PM,11:43 PM,$179,1 hr 43 min
CHS → NYC → BNA → ORD,817,6h 32m,392,CHS→JFK,Delta,6:00 AM,8:00 AM,$409,2 hr,LGA→BNA,Delta,10:40 AM,12:13 PM,$229,2 hr 33 min,BNA→ORD,United,8:15 PM,10:14 PM,$179,1 hr 59 min
CHS → NYC → BNA → ORD,817,6h 32m,392,CHS→JFK,Delta,6:00 AM,8:00 AM,$409,2 hr,LGA→BNA,Delta,1:55 PM,3:28 PM,$229,2 hr 33 min,BNA→ORD,United,8:15 PM,10:14 PM,$179,1 hr 59 min
CHS → NYC → BNA → ORD,817,6h 42m,402,CHS→EWR,United,7:00 AM,8:59 AM,$313,1 hr 59 min,EWR→BNA,United,9:35 AM,11:19 AM,$325,2 hr 44 min,BNA→ORD,United,8:15 PM,10:14 PM,$179,1 hr 59 min
CHS → NYC → BNA → ORD,817,7h 0m,420,CHS→LGA,American,7:00 AM,9:07 AM,$519,2 hr 7 min,LGA→BNA,American,3:40 PM,5:27 PM,$129,2 hr 47 min,BNA→ORD,American,7:23 PM,9:29 PM,$169,2 hr 6 min
CHS → NYC → BNA → ORD,817,6h 45m,405,CHS→EWR,United,11:09 AM,1:08 PM,$509,1 hr 59 min,LGA→BNA,American,3:40 PM,5:27 PM,$129,2 hr 47 min,BNA→ORD,United,8:15 PM,10:14 PM,$179,1 hr 59 min
ORD → NYC → CHS → BNA,817,6h 24m,384,ORD→EWR,American,1:07 PM,4:30 PM,$220,2 hr 23 min,JFK→CHS,Delta,6:23 PM,8:49 PM,$319,2 hr 26 min,CHS→BNA,Southwest,8:50 PM,9:25 PM,$278,1 hr 35 min
ORD → NYC → BNA → CHS,817,6h 14m,374,ORD→LGA,Delta,9:44 AM,1:00 PM,$319,2 hr 16 min,LGA→BNA,Delta,1:55 PM,3:28 PM,$229,2 hr 33 min,BNA→CHS,Southwest,3:50 PM,6:15 PM,$269,1 hr 25 min
ORD → NYC → BNA → CHS,817,6h 1m,361,ORD→LGA,American,11:54 AM,3:09 PM,$214,2 hr 15 min,EWR→BNA,United,4:07 PM,5:28 PM,$408,2 hr 21 min,BNA→CHS,Southwest,7:05 PM,9:30 PM,$195,1 hr 25 min
ORD → BNA → NYC → CHS,817,6h 39m,399,ORD→BNA,American,6:49 AM,8:36 AM,$169,1 hr 47 min,BNA→EWR,United,12:01 PM,3:28 PM,$549,2 hr 27 min,LGA→CHS,Delta,3:50 PM,6:15 PM,$99,2 hr 25 min
ORD → BNA → NYC → CHS,817,6h 37m,397,ORD→BNA,American,6:49 AM,8:36 AM,$169,1 hr 47 min,BNA→EWR,United,12:01 PM,3:28 PM,$549,2 hr 27 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
ORD → BNA → NYC → CHS,817,6h 41m,401,ORD→BNA,United,7:05 AM,8:53 AM,$179,1 hr 48 min,BNA→EWR,United,12:01 PM,3:28 PM,$549,2 hr 27 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
ORD → BNA → NYC → CHS,817,6h 36m,396,ORD→BNA,American,8:10 AM,9:54 AM,$169,1 hr 44 min,BNA→EWR,United,12:01 PM,3:28 PM,$549,2 hr 27 min,LGA→CHS,Delta,3:50 PM,6:15 PM,$99,2 hr 25 min
ORD → BNA → NYC → CHS,817,6h 34m,394,ORD→BNA,American,8:10 AM,9:54 AM,$169,1 hr 44 min,BNA→EWR,United,12:01 PM,3:28 PM,$549,2 hr 27 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
ORD → BNA → NYC → CHS,817,6h 41m,401,ORD→BNA,United,9:00 AM,10:48 AM,$179,1 hr 48 min,BNA→EWR,United,12:01 PM,3:28 PM,$549,2 hr 27 min,LGA→CHS,American,6:30 PM,8:56 PM,$89,2 hr 26 min
NYC → BNA → ORD → CHS,817,7h 8m,428,EWR→BNA,United,9:35 AM,11:19 AM,$325,2 hr 44 min,BNA→ORD,United,11:45 AM,1:43 PM,$297,1 hr 58 min,ORD→CHS,American,2:36 PM,6:02 PM,$195,2 hr 26 min
NYC → BNA → ORD → CHS,817,6h 59m,419,EWR→BNA,United,9:35 AM,11:19 AM,$325,2 hr 44 min,BNA→ORD,United,11:45 AM,1:43 PM,$297,1 hr 58 min,ORD→CHS,AmericanAlaska,7:49 PM,11:06 PM,$195,2 hr 17 min
BNA → ORD → NYC → CHS,817,6h 22m,382,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,Delta,2:45 PM,6:00 PM,$539,2 hr 15 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,817,6h 19m,379,BNA→ORD,American,5:00 AM,6:52 AM,$169,1 hr 52 min,ORD→LGA,Delta,5:50 PM,9:02 PM,$539,2 hr 12 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,817,6h 35m,395,BNA→ORD,United,6:00 AM,7:53 AM,$179,1 hr 53 min,ORD→LGA,Delta,9:44 AM,1:00 PM,$319,2 hr 16 min,JFK→CHS,Delta,6:23 PM,8:49 PM,$319,2 hr 26 min
BNA → ORD → NYC → CHS,817,6h 31m,391,BNA→ORD,United,6:00 AM,7:53 AM,$179,1 hr 53 min,ORD→LGA,Delta,2:45 PM,6:00 PM,$539,2 hr 15 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
BNA → ORD → NYC → CHS,817,6h 41m,401,BNA→ORD,American,6:42 AM,8:53 AM,$169,2 hr 11 min,ORD→LGA,Delta,2:45 PM,6:00 PM,$539,2 hr 15 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,817,6h 38m,398,BNA→ORD,American,6:42 AM,8:53 AM,$169,2 hr 11 min,ORD→LGA,Delta,5:50 PM,9:02 PM,$539,2 hr 12 min,EWR→CHS,United,9:44 PM,11:59 PM,$109,2 hr 15 min
BNA → ORD → NYC → CHS,817,6h 35m,395,BNA→ORD,United,7:35 AM,9:28 AM,$179,1 hr 53 min,ORD→LGA,Delta,9:44 AM,1:00 PM,$319,2 hr 16 min,JFK→CHS,Delta,6:23 PM,8:49 PM,$319,2 hr 26 min
BNA → ORD → NYC → CHS,817,6h 31m,391,BNA→ORD,United,7:35 AM,9:28 AM,$179,1 hr 53 min,ORD→LGA,Delta,2:45 PM,6:00 PM,$539,2 hr 15 min,LGA→CHS,Delta,7:00 PM,9:23 PM,$99,2 hr 23 min
